Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
England,BEEF SHORTHORN X,Non Dairy,M,6 to 12 months,"1,522"
England,BEEF SHORTHORN X,Non Dairy,M,12 to 18 months,659
England,BEEF SHORTHORN X,Non Dairy,M,18 to 24 months,"1,000"
England,BEEF SHORTHORN X,Non Dairy,M,24 to 30 months,132
England,BEEF SHORTHORN X,Non Dairy,M,30 to 36 months,30
England,BEEF SHORTHORN X,Non Dairy,M,36 to 42 months,4
England,BEEF SHORTHORN X,Non Dairy,M,42 to 48 Months,6
England,BEEF SHORTHORN X,Non Dairy,M,48 to 54 months,2
England,BEEF SHORTHORN X,Non Dairy,M,54 to 60 months,4
England,BEEF SHORTHORN X,Non Dairy,M,60 to 66 months,2
England,BEEF SHORTHORN X,Non Dairy,M,66 to 72 months,8
England,BEEF SHORTHORN X,Non Dairy,M,72 to 78 months,6
England,BEEF SHORTHORN X,Non Dairy,M,78 to 84 months,4
England,BEEF SHORTHORN X,Non Dairy,M,90 to 96 months,1
England,BEEF SHORTHORN X,Non Dairy,M,96 to102 months,1
England,BEEF SHORTHORN X,Non Dairy,M,102+months,2
England,BEEF X,Non Dairy,F,102+months,2
England,BEEFALO,Non Dairy,F,6 to 12 months,1
England,BEEFALO,Non Dairy,F,102+months,11
England,BEEFALO,Non Dairy,M,6 to 12 months,2
England,BEEFALO,Non Dairy,M,12 to 18 months,1
England,BELGIAN BLUE,Non Dairy,F,36 to 42 months,131
England,BELGIAN BLUE,Non Dairy,F,42 to 48 Months,622
England,BELGIAN BLUE,Non Dairy,F,48 to 54 months,549
England,BELGIAN BLUE,Non Dairy,F,54 to 60 months,828
England,BELGIAN BLUE,Non Dairy,F,60 to 66 months,584
England,BELGIAN BLUE,Non Dairy,F,66 to 72 months,564
England,BELGIAN BLUE,Non Dairy,F,72 to 78 months,391
England,BELGIAN BLUE,Non Dairy,F,78 to 84 months,533
England,BELGIAN BLUE,Non Dairy,F,84 to 90 months,419
England,BELGIAN BLUE,Non Dairy,F,90 to 96 months,459
England,BELGIAN BLUE,Non Dairy,F,96 to102 months,292
England,BELGIAN BLUE,Non Dairy,F,102+months,"2,388"
England,BELGIAN BLUE,Non Dairy,F,,2
England,BELGIAN BLUE,Non Dairy,M,36 to 42 months,24
England,BELGIAN BLUE,Non Dairy,M,42 to 48 Months,128
England,BELGIAN BLUE,Non Dairy,M,48 to 54 months,119
England,BELGIAN BLUE,Non Dairy,M,54 to 60 months,203
England,BELGIAN BLUE,Non Dairy,M,60 to 66 months,128
England,BELGIAN BLUE,Non Dairy,M,66 to 72 months,171
England,BELGIAN BLUE,Non Dairy,M,72 to 78 months,70
England,BELGIAN BLUE,Non Dairy,M,78 to 84 months,126
England,BELGIAN BLUE,Non Dairy,M,84 to 90 months,60
England,BELGIAN BLUE,Non Dairy,M,90 to 96 months,82
England,BELGIAN BLUE,Non Dairy,M,96 to102 months,47
England,BELGIAN BLUE,Non Dairy,M,102+months,287
England,BELGIAN BLUE X,Non Dairy,F,30 to 36 months,2
England,BELGIAN BLUE X,Non Dairy,F,36 to 42 months,"1,280"
England,BELGIAN BLUE X,Non Dairy,F,42 to 48 Months,"5,139"
England,BELGIAN BLUE X,Non Dairy,F,48 to 54 months,"5,019"
England,BELGIAN BLUE X,Non Dairy,F,54 to 60 months,"5,807"
England,BELGIAN BLUE X,Non Dairy,F,60 to 66 months,"4,865"
England,BELGIAN BLUE X,Non Dairy,F,66 to 72 months,"4,494"
England,BELGIAN BLUE X,Non Dairy,F,72 to 78 months,"3,632"
England,BELGIAN BLUE X,Non Dairy,F,78 to 84 months,"3,558"
England,BELGIAN BLUE X,Non Dairy,F,84 to 90 months,"3,218"
England,BELGIAN BLUE X,Non Dairy,F,90 to 96 months,"3,078"
England,BELGIAN BLUE X,Non Dairy,F,96 to102 months,"2,268"
England,BELGIAN BLUE X,Non Dairy,F,102+months,"15,910"
England,BELGIAN BLUE X,Non Dairy,F,,16
England,BELGIAN BLUE X,Non Dairy,M,36 to 42 months,41
England,BELGIAN BLUE X,Non Dairy,M,42 to 48 Months,195
England,BELGIAN BLUE X,Non Dairy,M,48 to 54 months,101
England,BELGIAN BLUE X,Non Dairy,M,54 to 60 months,167
England,BELGIAN BLUE X,Non Dairy,M,60 to 66 months,84
England,BELGIAN BLUE X,Non Dairy,M,66 to 72 months,107
England,BELGIAN BLUE X,Non Dairy,M,72 to 78 months,72
England,BELGIAN BLUE X,Non Dairy,M,78 to 84 months,68
England,BELGIAN BLUE X,Non Dairy,M,84 to 90 months,62
England,BELGIAN BLUE X,Non Dairy,M,90 to 96 months,57
England,BELGIAN BLUE X,Non Dairy,M,96 to102 months,66
England,BELGIAN BLUE X,Non Dairy,M,102+months,313
England,BELGIAN BLUE X,Non Dairy,M,,4
England,BELGIAN BLUE X,Non Dairy,,60 to 66 months,1
England,BELGIAN BLUE X,Non Dairy,,102+months,3
England,BELTED DUTCH,Dairy,M,12 to 18 months,1
England,BELTED DUTCH CROSS,Dairy,F,6 to 12 months,1
